time,station,land
1917.38,-0.76,-0.55
1917.46,-0.40,-0.43
1917.54,-0.04,-0.25
1917.63,-0.36,-0.22
1917.71,-0.33,-0.22
1917.79,-0.51,-0.44
1917.88,-0.39,-0.33
1917.96,-0.91,-0.67
1918.04,-0.70,-0.47
1918.13,-0.55,-0.34
1918.21,-0.48,-0.24
1918.29,-0.50,-0.44
1918.38,-0.63,-0.42
1918.46,-0.37,-0.36
1918.54,-0.48,-0.31
1918.63,-0.49,-0.31
1918.71,-0.20,-0.17
1918.79,0.01,-0.06
1918.88,-0.26,-0.11
1918.96,-0.35,-0.29
1919.04,-0.28,-0.20
1919.13,-0.21,-0.24
1919.21,-0.15,-0.21
1919.29,-0.10,-0.12
1919.38,-0.17,-0.28
1919.46,-0.13,-0.36
1919.54,-0.03,-0.29
1919.63,-0.09,-0.33
1919.71,-0.26,-0.25
1919.79,-0.13,-0.20
1919.88,-0.47,-0.41
1919.96,-0.33,-0.42
1920.04,-0.16,-0.24
1920.13,-0.33,-0.26
1920.21,-0.22,-0.12
1920.29,-0.10,-0.24
1920.38,-0.31,-0.27
1920.46,-0.32,-0.36
1920.54,-0.18,-0.30
1920.63,-0.22,-0.27
1920.71,-0.22,-0.22
1920.79,-0.41,-0.26
1920.88,-0.30,-0.26
1920.96,-0.52,-0.46
1921.04,-0.05,-0.04
1921.13,-0.15,-0.17
1921.21,-0.11,-0.23
1921.29,-0.24,-0.30
1921.38,-0.26,-0.30
1921.46,-0.10,-0.27
1921.54,0.01,-0.15
1921.63,-0.45,-0.26
1921.71,-0.12,-0.19
1921.79,-0.09,-0.03
1921.88,-0.28,-0.13
1921.96,-0.21,-0.17
1922.04,-0.44,-0.33
1922.13,-0.50,-0.44
1922.21,-0.36,-0.15
1922.29,-0.12,-0.23
1922.38,-0.40,-0.34
1922.46,-0.31,-0.31
1922.54,-0.09,-0.27
1922.63,-0.23,-0.33
1922.71,-0.20,-0.36
1922.79,-0.26,-0.33
1922.88,-0.11,-0.15
1922.96,-0.20,-0.19
1923.04,-0.29,-0.28
1923.13,-0.33,-0.39
1923.21,-0.27,-0.34
1923.29,-0.51,-0.41
1923.38,-0.35,-0.34
1923.46,-0.38,-0.29
1923.54,-0.49,-0.31
1923.63,-0.42,-0.33
1923.71,-0.34,-0.31
1923.79,-0.14,-0.14
1923.88,-0.04,-0.02
1923.96,-0.07,-0.05
1924.04,-0.28,-0.23
1924.13,-0.40,-0.24
1924.21,-0.17,-0.08
1924.29,-0.44,-0.31
1924.38,-0.30,-0.18
1924.46,-0.23,-0.26
1924.54,-0.22,-0.29
1924.63,-0.22,-0.36
1924.71,-0.11,-0.32
1924.79,-0.21,-0.35
1924.88,-0.12,-0.21
1924.96,-0.40,-0.43
1925.04,-0.49,-0.38
1925.13,-0.44,-0.40
1925.21,-0.33,-0.28
1925.29,-0.18,-0.25
1925.38,-0.33,-0.29
1925.46,-0.41,-0.32
1925.54,-0.37,-0.26
1925.63,-0.20,-0.20
1925.71,-0.36,-0.19
1925.79,-0.30,-0.17
1925.88,-0.02,0.05
1925.96,0.17,0.06
1926.04,0.32,0.21
1926.13,0.22,0.03
1926.21,0.19,0.11
1926.29,-0.09,-0.12
1926.38,-0.33,-0.23
1926.46,-0.23,-0.26
1926.54,-0.21,-0.27
1926.63,0.03,-0.13
1926.71,0.01,-0.14
1926.79,-0.11,-0.11
1926.88,-0.01,-0.06
1926.96,-0.28,-0.29
1927.04,-0.15,-0.27
1927.13,-0.13,-0.18
1927.21,-0.37,-0.38
1927.29,-0.31,-0.30
1927.38,-0.28,-0.25
1927.46,-0.27,-0.27
1927.54,-0.07,-0.18
1927.63,-0.29,-0.24
1927.71,-0.09,-0.13
1927.79,0.15,-0.01
1927.88,0.06,-0.06
1927.96,-0.26,-0.33
1928.04,0.06,-0.02
1928.13,-0.03,-0.09
1928.21,-0.09,-0.25
1928.29,-0.10,-0.28
1928.38,-0.30,-0.30
1928.46,-0.53,-0.39
1928.54,-0.06,-0.19
1928.63,-0.05,-0.22
1928.71,-0.01,-0.22
1928.79,-0.06,-0.19
1928.88,0.09,-0.09
1928.96,-0.04,-0.16
1929.04,-0.26,-0.45
1929.13,-0.46,-0.58
1929.21,-0.32,-0.33
1929.29,-0.40,-0.41
1929.38,-0.34,-0.38
1929.46,-0.44,-0.44
1929.54,-0.41,-0.37
1929.63,-0.39,-0.33
1929.71,-0.23,-0.25
1929.79,-0.01,-0.14
1929.88,0.00,-0.11
1929.96,-0.61,-0.54
1930.04,-0.21,-0.29
1930.13,-0.18,-0.27
1930.21,-0.06,-0.11
1930.29,-0.21,-0.25
1930.38,-0.14,-0.24
1930.46,-0.20,-0.22
1930.54,-0.22,-0.21
1930.63,-0.17,-0.15
1930.71,-0.16,-0.16
1930.79,-0.30,-0.12
1930.88,0.12,0.18
1930.96,-0.01,-0.06
1931.04,-0.08,-0.11
1931.13,-0.26,-0.21
1931.21,-0.08,-0.10
1931.29,-0.24,-0.23
1931.38,-0.20,-0.20
1931.46,-0.08,-0.08
1931.54,0.07,-0.04
1931.63,0.06,-0.04
1931.71,-0.19,-0.07
1931.79,0.10,0.04
1931.88,-0.02,-0.06
1931.96,0.12,-0.06
1932.04,0.32,0.15
1932.13,-0.28,-0.17
1932.21,-0.22,-0.18
1932.29,0.04,-0.06
1932.38,-0.15,-0.17
1932.46,-0.42,-0.29
1932.54,-0.23,-0.25
1932.63,-0.17,-0.22
1932.71,0.05,-0.11
1932.79,0.11,-0.09
1932.88,-0.11,-0.27
1932.96,-0.14,-0.26
1933.04,-0.21,-0.24
1933.13,-0.22,-0.30
1933.21,-0.22,-0.30
1933.29,-0.16,-0.24
1933.38,-0.12,-0.29
1933.46,-0.30,-0.35
1933.54,-0.13,-0.22
1933.63,-0.17,-0.24
1933.71,-0.12,-0.30
1933.79,-0.13,-0.25
1933.88,-0.38,-0.31
1933.96,-0.49,-0.45
1934.04,-0.13,-0.22
1934.13,-0.08,-0.03
1934.21,-0.34,-0.30
1934.29,-0.33,-0.31
1934.38,-0.01,-0.10
1934.46,-0.19,-0.16
1934.54,-0.05,-0.11
1934.63,0.02,-0.12
1934.71,-0.04,-0.16
1934.79,-0.04,-0.07
1934.88,0.10,0.03
1934.96,0.16,-0.03
1935.04,-0.30,-0.34
1935.13,0.24,0.13
1935.21,0.01,-0.15
1935.29,-0.45,-0.37
1935.38,-0.34,-0.30
1935.46,-0.19,-0.27
1935.54,-0.25,-0.22
1935.63,-0.22,-0.22
1935.71,-0.38,-0.22
1935.79,-0.01,-0.06
1935.88,-0.31,-0.26
1935.96,-0.11,-0.17
1936.04,-0.26,-0.28
1936.13,-0.43,-0.39
1936.21,-0.17,-0.22
1936.29,-0.02,-0.20
1936.38,-0.26,-0.17
1936.46,-0.19,-0.22
1936.54,0.16,-0.10
1936.63,0.05,-0.13
1936.71,-0.02,-0.09
1936.79,0.02,-0.03
1936.88,0.10,0.01
1936.96,0.09,-0.01
1937.04,-0.06,-0.08
1937.13,0.04,0.02
1937.21,-0.24,-0.21
1937.29,-0.18,-0.16
1937.38,0.03,-0.05
1937.46,-0.05,-0.05
1937.54,-0.09,-0.04
1937.63,0.05,0.01
1937.71,0.20,0.09
1937.79,0.19,0.08
1937.88,0.28,0.08
1937.96,-0.01,-0.07
1938.04,0.10,0.08
1938.13,0.10,0.03
1938.21,0.22,0.09
1938.29,0.30,0.06
1938.38,0.11,-0.10
1938.46,-0.12,-0.17
1938.54,-0.03,-0.09
1938.63,-0.06,-0.06
1938.71,0.08,0.00
1938.79,0.34,0.14
1938.88,0.18,0.07
1938.96,-0.02,-0.13
1939.04,-0.02,-0.05
1939.13,-0.13,-0.07
1939.21,-0.34,-0.18
1939.29,-0.16,-0.10
1939.38,0.00,-0.05
1939.46,-0.08,-0.07
1939.54,-0.10,-0.06
1939.63,-0.23,-0.06
1939.71,-0.08,-0.07
1939.79,-0.08,-0.04
1939.88,-0.10,0.07
1939.96,0.38,0.43
1940.04,-0.14,0.00
1940.13,0.03,0.08
1940.21,0.02,0.09
1940.29,0.01,0.17
1940.38,0.07,0.11
1940.46,0.18,0.11
1940.54,0.18,0.12
1940.63,0.10,0.06
1940.71,0.21,0.15
1940.79,0.11,0.11
1940.88,0.06,0.16
1940.96,0.31,0.32
1941.04,0.06,0.18
1941.13,0.27,0.31
1941.21,-0.05,0.09
1941.29,0.02,0.16
1941.38,0.14,0.17
1941.46,0.14,0.12
1941.54,0.26,0.21
1941.63,0.07,0.14
1941.71,-0.18,0.02
1941.79,0.14,0.35
1941.88,-0.06,0.22
1941.96,0.03,0.21
1942.04,0.19,0.29
1942.13,-0.05,0.02
1942.21,-0.06,0.05
1942.29,-0.03,0.09
1942.38,0.03,0.11
1942.46,-0.03,0.04
1942.54,0.04,0.00
1942.63,0.09,-0.04
1942.71,0.05,-0.04
1942.79,0.02,0.01
1942.88,0.15,0.09
1942.96,0.11,0.12
1943.04,-0.18,-0.01
1943.13,0.07,0.17
1943.21,-0.08,-0.04
1943.29,0.03,0.11
1943.38,-0.08,0.06
1943.46,-0.06,-0.05
1943.54,0.08,0.08
1943.63,-0.18,0.01
1943.71,0.04,0.05
1943.79,0.26,0.23
1943.88,0.06,0.20
1943.96,0.17,0.23
1944.04,0.32,0.35
1944.13,0.08,0.24
1944.21,0.07,0.26
1944.29,-0.10,0.19
1944.38,-0.13,0.18
1944.46,-0.16,0.15
1944.54,0.04,0.17
1944.63,0.08,0.18
1944.71,0.20,0.27
1944.79,0.21,0.26
1944.88,0.04,0.11
1944.96,-0.18,0.03
1945.04,-0.01,0.09
1945.13,-0.12,0.00
1945.21,-0.09,0.06
1945.29,0.11,0.19
1945.38,-0.29,0.05
1945.46,-0.28,0.00
1945.54,-0.24,0.03
1945.63,0.22,0.26
1945.71,0.01,0.20
1945.79,0.01,0.18
1945.88,-0.11,0.07
1945.96,-0.36,-0.07
1946.04,-0.04,0.15
1946.13,-0.08,0.02
1946.21,-0.12,0.01
1946.29,0.06,0.05
1946.38,0.01,-0.08
1946.46,-0.20,-0.22
1946.54,0.07,-0.13
1946.63,-0.12,-0.20
1946.71,0.01,-0.08
1946.79,-0.19,-0.08
1946.88,-0.06,-0.05
1946.96,-0.24,-0.31
1947.04,-0.04,-0.07
1947.13,0.02,-0.08
1947.21,0.14,0.06
1947.29,0.11,0.06
1947.38,0.01,-0.02
1947.46,-0.04,-0.02
1947.54,0.05,-0.05
1947.63,0.08,-0.07
1947.71,0.06,-0.13
1947.79,0.29,0.07
1947.88,0.21,0.02
1947.96,-0.12,-0.14
1948.04,0.22,0.06
1948.13,-0.10,-0.15
1948.21,-0.23,-0.25
1948.29,-0.10,-0.12
1948.38,0.03,-0.01
1948.46,0.09,-0.05
1948.54,-0.09,-0.11
1948.63,-0.09,-0.12
1948.71,-0.01,-0.15
1948.79,0.04,-0.05
1948.88,-0.14,-0.13
1948.96,-0.18,-0.24
1949.04,0.01,0.06
1949.13,-0.30,-0.14
1949.21,-0.10,-0.02
1949.29,-0.26,-0.11
1949.38,-0.17,-0.10
1949.46,-0.23,-0.28
1949.54,-0.06,-0.13
1949.63,-0.13,-0.13
1949.71,-0.06,-0.15
1949.79,0.02,-0.07
1949.88,-0.07,-0.10
1949.96,-0.11,-0.18
1950.04,-0.23,-0.26
1950.13,-0.28,-0.27
1950.21,-0.05,-0.08
1950.29,-0.23,-0.21
1950.38,-0.24,-0.11
1950.46,-0.10,-0.05
1950.54,-0.06,-0.09
1950.63,-0.33,-0.16
1950.71,-0.14,-0.12
1950.79,-0.22,-0.21
1950.88,-0.34,-0.34
1950.96,-0.21,-0.21
1951.04,-0.45,-0.35
1951.13,-0.50,-0.42
1951.21,-0.21,-0.20
1951.29,-0.09,-0.14
1951.38,-0.01,-0.01
1951.46,-0.19,-0.07
1951.54,-0.16,-0.01
1951.63,0.04,0.06
1951.71,-0.05,0.05
1951.79,0.02,0.08
1951.88,0.00,-0.01
1951.96,0.13,0.15
1952.04,0.06,0.11
1952.13,0.10,0.11
1952.21,-0.16,-0.08
1952.29,-0.05,0.03
1952.38,-0.12,-0.03
1952.46,-0.09,-0.03
1952.54,0.07,0.04
1952.63,0.11,0.05
1952.71,0.11,0.07
1952.79,-0.05,0.00
1952.88,-0.20,-0.13
1952.96,-0.06,-0.02
1953.04,0.05,0.07
1953.13,0.05,0.15
1953.21,0.13,0.11
1953.29,0.14,0.19
1953.38,0.03,0.11
1953.46,0.01,0.12
1953.54,-0.07,0.01
1953.63,0.10,0.05
1953.71,0.09,0.04
1953.79,0.07,0.08
1953.88,0.05,-0.03
1953.96,0.18,0.05
1954.04,-0.26,-0.24
1954.13,-0.04,-0.10
1954.21,-0.09,-0.15
1954.29,-0.13,-0.14
1954.38,-0.19,-0.20
1954.46,-0.21,-0.19
1954.54,-0.26,-0.19
1954.63,-0.24,-0.18
1954.71,-0.18,-0.10
1954.79,0.03,-0.02
1954.88,0.18,0.08
1954.96,-0.11,-0.18
1955.04,0.21,0.13
1955.13,-0.10,-0.16
1955.21,-0.38,-0.32
1955.29,-0.20,-0.22
1955.38,-0.18,-0.20
1955.46,-0.24,-0.14
1955.54,-0.15,-0.11
1955.63,0.12,0.02
