,year,sealevel
687,Year 1440,-1.1
688,Year 1440,-1.1
689,Year 1440,-1.1
690,Year 1440,-1.1
691,Year 1440,-1.1
692,Year 1440,-1.1
693,Year 1440,-1.1
694,Year 1440,-1.1
695,Year 1440,-1.1
696,Year 1440,-1.1
697,Year 1440,-1.1
698,Year 1440,-1.1
699,Year 1440,-1.1
700,Year 1440,-1.1
701,Year 1440,-1.1
702,Year 1440,-1.1
703,Year 1440,-1.1
704,Year 1440,-1.1
705,Year 1440,-1.1
706,Year 1420,-1.3
707,Year 1420,-1.3
708,Year 1420,-1.3
709,Year 1420,-1.3
710,Year 1420,-1.3
711,Year 1420,-1.3
712,Year 1420,-1.3
713,Year 1420,-1.3
714,Year 1420,-1.3
715,Year 1420,-1.3
716,Year 1420,-1.3
717,Year 1420,-1.3
718,Year 1420,-1.3
719,Year 1420,-1.3
720,Year 1420,-1.3
721,Year 1420,-1.3
722,Year 1420,-1.3
723,Year 1420,-1.3
724,Year 1420,-1.3
725,Year 1420,-1.3
726,Year 1420,-1.3
727,Year 1420,-1.3
728,Year 1420,-1.3
729,Year 1420,-1.3
730,Year 1400,-1
731,Year 1400,-1
732,Year 1400,-1
733,Year 1400,-1
734,Year 1400,-1
735,Year 1400,-1
736,Year 1400,-1
737,Year 1400,-1
738,Year 1400,-1
739,Year 1400,-1
740,Year 1400,-1
741,Year 1400,-1
742,Year 1400,-1
743,Year 1400,-1
744,Year 1400,-1
745,Year 1400,-1
746,Year 1400,-1
747,Year 1400,-1
748,Year 1400,-1
749,Year 1400,-1
750,Year 1400,-1
751,Year 1400,-1
752,Year 1400,-1
753,Year 1400,-1
754,Year 1380,-0.6
755,Year 1380,-0.6
756,Year 1380,-0.6
757,Year 1380,-0.6
758,Year 1380,-0.6
759,Year 1380,-0.6
760,Year 1380,-0.6
761,Year 1380,-0.6
762,Year 1380,-0.6
763,Year 1380,-0.6
764,Year 1380,-0.6
765,Year 1380,-0.6
766,Year 1380,-0.6
767,Year 1380,-0.6
768,Year 1380,-0.6
769,Year 1380,-0.6
770,Year 1380,-0.6
771,Year 1380,-0.6
772,Year 1380,-0.6
773,Year 1380,-0.6
774,Year 1380,-0.6
775,Year 1380,-0.6
776,Year 1380,-0.6
777,Year 1380,-0.6
778,Year 1360,-0.5
779,Year 1360,-0.5
780,Year 1360,-0.5
781,Year 1360,-0.5
782,Year 1360,-0.5
783,Year 1360,-0.5
784,Year 1360,-0.5
785,Year 1360,-0.5
786,Year 1360,-0.5
787,Year 1360,-0.5
788,Year 1360,-0.5
789,Year 1360,-0.5
790,Year 1360,-0.5
791,Year 1360,-0.5
792,Year 1360,-0.5
793,Year 1360,-0.5
794,Year 1360,-0.5
795,Year 1360,-0.5
796,Year 1360,-0.5
797,Year 1360,-0.5
798,Year 1360,-0.5
799,Year 1360,-0.5
800,Year 1360,-0.5
801,Year 1360,-0.5
802,Year 1340,-0.5
803,Year 1340,-0.5
804,Year 1340,-0.5
805,Year 1340,-0.5
806,Year 1340,-0.5
807,Year 1340,-0.5
808,Year 1340,-0.5
809,Year 1340,-0.5
810,Year 1340,-0.5
811,Year 1340,-0.5
812,Year 1340,-0.5
813,Year 1340,-0.5
814,Year 1340,-0.5
815,Year 1340,-0.5
816,Year 1340,-0.5
817,Year 1340,-0.5
818,Year 1340,-0.5
819,Year 1340,-0.5
820,Year 1340,-0.5
821,Year 1340,-0.5
822,Year 1340,-0.5
823,Year 1340,-0.5
824,Year 1340,-0.5
825,Year 1340,-0.5
826,Year 1320,-0.3
827,Year 1320,-0.3
828,Year 1320,-0.3
829,Year 1320,-0.3
830,Year 1320,-0.3
831,Year 1320,-0.3
832,Year 1320,-0.3
833,Year 1320,-0.3
834,Year 1320,-0.3
835,Year 1320,-0.3
836,Year 1320,-0.3
837,Year 1320,-0.3
838,Year 1320,-0.3
839,Year 1320,-0.3
840,Year 1320,-0.3
841,Year 1320,-0.3
842,Year 1320,-0.3
843,Year 1320,-0.3
844,Year 1320,-0.3
845,Year 1320,-0.3
846,Year 1320,-0.3
847,Year 1320,-0.3
848,Year 1320,-0.3
849,Year 1320,-0.3
850,Year 1300,0.1
851,Year 1300,0.1
852,Year 1300,0.1
853,Year 1300,0.1
854,Year 1300,0.1
855,Year 1300,0.1
856,Year 1300,0.1
857,Year 1300,0.1
858,Year 1300,0.1
859,Year 1300,0.1
860,Year 1300,0.1
861,Year 1300,0.1
862,Year 1300,0.1
863,Year 1300,0.1
864,Year 1300,0.1
865,Year 1300,0.1
866,Year 1300,0.1
867,Year 1300,0.1
868,Year 1300,0.1
869,Year 1300,0.1
870,Year 1300,0.1
871,Year 1300,0.1
872,Year 1300,0.1
873,Year 1300,0.1
874,Year 1280,0.7
875,Year 1280,0.7
876,Year 1280,0.7
877,Year 1280,0.7
878,Year 1280,0.7
879,Year 1280,0.7
880,Year 1280,0.7
881,Year 1280,0.7
882,Year 1280,0.7
883,Year 1280,0.7
884,Year 1280,0.7
885,Year 1280,0.7
886,Year 1280,0.7
887,Year 1280,0.7
888,Year 1280,0.7
889,Year 1280,0.7
890,Year 1280,0.7
891,Year 1280,0.7
892,Year 1280,0.7
893,Year 1280,0.7
894,Year 1280,0.7
895,Year 1280,0.7
896,Year 1280,0.7
897,Year 1280,0.7
898,Year 1260,1.5
899,Year 1260,1.5
900,Year 1260,1.5
901,Year 1260,1.5
902,Year 1260,1.5
903,Year 1260,1.5
904,Year 1260,1.5
905,Year 1260,1.5
906,Year 1260,1.5
907,Year 1260,1.5
908,Year 1260,1.5
909,Year 1260,1.5
910,Year 1260,1.5
911,Year 1260,1.5
912,Year 1260,1.5
913,Year 1260,1.5
914,Year 1260,1.5
915,Year 1260,1.5
916,Year 1260,1.5
917,Year 1260,1.5
918,Year 1260,1.5
919,Year 1260,1.5
920,Year 1260,1.5
921,Year 1260,1.5
922,Year 1240,2
923,Year 1240,2
924,Year 1240,2
925,Year 1240,2
926,Year 1240,2
927,Year 1240,2
928,Year 1240,2
929,Year 1240,2
930,Year 1240,2
931,Year 1240,2
932,Year 1240,2
933,Year 1240,2
934,Year 1240,2
935,Year 1240,2
936,Year 1240,2
937,Year 1240,2
938,Year 1240,2
939,Year 1240,2
940,Year 1220,1.5
941,Year 1200,0.5
942,Year 1180,-0.2
943,Year 1160,-0.2
944,Year 1140,-0.2
945,Year 1120,0.4
946,Year 1100,2.1
947,Year 1080,4
948,Year 1060,5.3
949,Year 1040,6.3
950,Year 1020,7.2
951,Year 1000,8.1
