,year,n2o
957,Year 1219,267.5
958,Year 1218,267.5
959,Year 1218,267.5
960,Year 1217,267.5
961,Year 1216,267.6
962,Year 1215,267.6
963,Year 1214,267.6
964,Year 1213,267.6
965,Year 1213,267.6
966,Year 1212,267.6
967,Year 1211,267.6
968,Year 1210,267.7
969,Year 1209,267.7
970,Year 1208,267.7
971,Year 1207,267.7
972,Year 1207,267.7
973,Year 1206,267.7
974,Year 1205,267.7
975,Year 1204,267.8
976,Year 1203,267.8
977,Year 1202,267.8
978,Year 1202,267.8
979,Year 1201,267.8
980,Year 1200,267.8
981,Year 1199,267.8
982,Year 1198,267.9
983,Year 1197,267.9
984,Year 1197,267.9
985,Year 1196,267.9
986,Year 1195,267.9
987,Year 1194,267.9
988,Year 1193,268
989,Year 1192,268
990,Year 1192,268
991,Year 1191,268
992,Year 1190,268
993,Year 1189,268
994,Year 1188,268
995,Year 1187,268.1
996,Year 1187,268.1
997,Year 1186,268.1
998,Year 1185,268.1
999,Year 1184,268.1
1000,Year 1183,268.1
1001,Year 1182,268.2
1002,Year 1182,268.2
1003,Year 1181,268.2
1004,Year 1180,268.2
1005,Year 1179,268.2
1006,Year 1178,268.2
1007,Year 1177,268.2
1008,Year 1177,268.2
1009,Year 1176,268.3
1010,Year 1175,268.3
1011,Year 1174,268.3
1012,Year 1173,268.3
1013,Year 1172,268.3
1014,Year 1171,268.3
1015,Year 1171,268.3
1016,Year 1170,268.3
1017,Year 1169,268.4
1018,Year 1168,268.4
1019,Year 1167,268.4
1020,Year 1166,268.4
1021,Year 1166,268.4
1022,Year 1165,268.4
1023,Year 1164,268.4
1024,Year 1163,268.4
1025,Year 1162,268.5
1026,Year 1161,268.5
1027,Year 1161,268.5
1028,Year 1160,268.5
1029,Year 1159,268.5
1030,Year 1158,268.5
1031,Year 1157,268.5
1032,Year 1156,268.5
1033,Year 1156,268.5
1034,Year 1155,268.5
1035,Year 1154,268.6
1036,Year 1153,268.6
1037,Year 1152,268.6
1038,Year 1151,268.6
1039,Year 1151,268.6
1040,Year 1150,268.6
1041,Year 1149,268.6
1042,Year 1148,268.6
1043,Year 1147,268.6
1044,Year 1146,268.6
1045,Year 1146,268.6
1046,Year 1145,268.6
1047,Year 1144,268.6
1048,Year 1143,268.6
1049,Year 1142,268.6
1050,Year 1141,268.6
1051,Year 1141,268.6
1052,Year 1140,268.6
1053,Year 1139,268.6
1054,Year 1138,268.6
1055,Year 1137,268.6
1056,Year 1136,268.6
1057,Year 1135,268.6
1058,Year 1135,268.6
1059,Year 1134,268.6
1060,Year 1133,268.6
1061,Year 1132,268.6
1062,Year 1131,268.6
1063,Year 1130,268.6
1064,Year 1130,268.6
1065,Year 1129,268.6
1066,Year 1128,268.6
1067,Year 1127,268.6
1068,Year 1126,268.6
1069,Year 1125,268.6
1070,Year 1125,268.6
1071,Year 1124,268.6
1072,Year 1123,268.6
1073,Year 1122,268.6
1074,Year 1121,268.6
1075,Year 1120,268.6
1076,Year 1120,268.6
1077,Year 1119,268.5
1078,Year 1118,268.5
1079,Year 1117,268.5
1080,Year 1116,268.5
1081,Year 1115,268.5
1082,Year 1115,268.5
1083,Year 1114,268.5
1084,Year 1113,268.5
1085,Year 1112,268.4
1086,Year 1111,268.4
1087,Year 1110,268.4
1088,Year 1110,268.4
1089,Year 1109,268.4
1090,Year 1108,268.4
1091,Year 1107,268.3
1092,Year 1106,268.3
1093,Year 1105,268.3
1094,Year 1104,268.3
1095,Year 1104,268.3
1096,Year 1103,268.2
1097,Year 1102,268.2
1098,Year 1101,268.2
1099,Year 1100,268.2
1100,Year 1099,268.1
1101,Year 1099,268.1
1102,Year 1098,268.1
1103,Year 1097,268.1
1104,Year 1096,268
1105,Year 1095,268
1106,Year 1094,268
1107,Year 1094,268
1108,Year 1093,267.9
1109,Year 1092,267.9
1110,Year 1091,267.9
1111,Year 1090,267.8
1112,Year 1089,267.8
1113,Year 1089,267.8
1114,Year 1088,267.8
1115,Year 1087,267.7
1116,Year 1086,267.7
1117,Year 1085,267.6
1118,Year 1084,267.6
1119,Year 1084,267.6
1120,Year 1083,267.6
1121,Year 1082,267.5
1122,Year 1081,267.5
1123,Year 1080,267.4
1124,Year 1079,267.4
1125,Year 1079,267.4
1126,Year 1078,267.4
1127,Year 1077,267.3
1128,Year 1076,267.3
1129,Year 1075,267.2
1130,Year 1074,267.2
1131,Year 1074,267.2
1132,Year 1073,267.2
1133,Year 1072,267.1
1134,Year 1071,267.1
1135,Year 1070,267
1136,Year 1069,267
1137,Year 1068,266.9
1138,Year 1068,266.9
1139,Year 1067,266.9
1140,Year 1066,266.9
1141,Year 1065,266.8
1142,Year 1064,266.8
1143,Year 1063,266.7
1144,Year 1063,266.7
1145,Year 1062,266.7
1146,Year 1061,266.6
1147,Year 1060,266.6
