,temperature,year
531, -0.53°C,"January 2, 1583"
532, -0.52°C,"January 2, 1582"
533, -0.76°C,"January 2, 1581"
534, -0.76°C,"January 2, 1581"
535, -1.13°C,"January 2, 1580"
536, -1.16°C,"January 2, 1579"
537, -0.89°C,"January 2, 1578"
538, -0.74°C,"January 2, 1577"
539, -0.73°C,"January 2, 1576"
540, -0.73°C,"January 2, 1576"
541, -0.66°C,"January 2, 1575"
542, -0.56°C,"January 2, 1574"
543, -0.56°C,"January 2, 1573"
544, -0.64°C,"January 2, 1572"
545, -0.7°C,"January 2, 1571"
546, -0.58°C,"January 2, 1570"
547, -0.58°C,"January 2, 1570"
548, -0.42°C,"January 2, 1569"
549, -0.33°C,"January 2, 1568"
550, -0.35°C,"January 2, 1567"
551, -0.41°C,"January 2, 1566"
552, -0.35°C,"January 2, 1565"
553, -0.35°C,"January 2, 1565"
554, -0.27°C,"January 2, 1564"
555, -0.28°C,"January 2, 1563"
556, -0.29°C,"January 2, 1562"
557, -0.34°C,"January 2, 1561"
558, -0.44°C,"January 2, 1560"
559, -0.44°C,"January 2, 1560"
560, -0.55°C,"January 2, 1559"
561, -0.54°C,"January 2, 1558"
562, -0.41°C,"January 2, 1557"
563, -0.36°C,"January 2, 1556"
564, -0.41°C,"January 2, 1555"
565, -0.41°C,"January 2, 1555"
566, -0.36°C,"January 2, 1554"
567, -0.29°C,"January 2, 1553"
568, -0.35°C,"January 2, 1552"
569, -0.39°C,"January 2, 1551"
570, -0.38°C,"January 2, 1550"
571, -0.38°C,"January 2, 1550"
572, -0.47°C,"January 2, 1549"
573, -0.65°C,"January 2, 1548"
574, -0.76°C,"January 2, 1547"
575, -0.82°C,"January 2, 1546"
576, -0.88°C,"January 2, 1545"
577, -0.88°C,"January 2, 1545"
578, -0.87°C,"January 2, 1544"
579, -0.88°C,"January 2, 1543"
580, -0.98°C,"January 2, 1542"
581, -0.84°C,"January 2, 1541"
582, -0.47°C,"January 2, 1540"
583, -0.31°C,"January 2, 1539"
584, -0.31°C,"January 2, 1539"
585, -0.36°C,"January 2, 1538"
586, -0.36°C,"January 2, 1537"
587, -0.33°C,"January 2, 1536"
588, -0.4°C,"January 2, 1535"
589, -0.57°C,"January 2, 1534"
590, -0.57°C,"January 2, 1534"
591, -0.69°C,"January 2, 1533"
592, -0.7°C,"January 2, 1532"
593, -0.73°C,"January 2, 1531"
594, -0.79°C,"January 2, 1530"
595, -0.84°C,"January 2, 1529"
596, -0.84°C,"January 2, 1529"
597, -0.76°C,"January 2, 1528"
598, -0.57°C,"January 2, 1527"
599, -0.49°C,"January 2, 1526"
600, -0.54°C,"January 2, 1525"
601, -0.69°C,"January 2, 1524"
602, -0.69°C,"January 2, 1524"
603, -0.87°C,"January 2, 1523"
604, -0.84°C,"January 2, 1522"
605, -0.58°C,"January 2, 1521"
606, -0.32°C,"January 2, 1520"
607, -0.27°C,"January 2, 1519"
608, -0.27°C,"January 2, 1519"
609, -0.34°C,"January 2, 1518"
610, -0.37°C,"January 2, 1517"
611, -0.41°C,"January 2, 1516"
612, -0.47°C,"January 2, 1515"
613, -0.49°C,"January 2, 1514"
614, -0.49°C,"January 2, 1514"
615, -0.5°C,"January 2, 1513"
616, -0.45°C,"January 2, 1512"
617, -0.32°C,"January 2, 1511"
618, -0.24°C,"January 2, 1510"
619, -0.28°C,"January 2, 1509"
620, -0.38°C,"January 2, 1508"
621, -0.38°C,"January 2, 1508"
622, -0.44°C,"January 2, 1507"
623, -0.48°C,"January 2, 1506"
624, -0.48°C,"January 2, 1505"
625, -0.43°C,"January 2, 1504"
626, -0.36°C,"January 2, 1503"
627, -0.36°C,"January 2, 1503"
628, -0.35°C,"January 2, 1502"
629, -0.49°C,"January 2, 1501"
630, -0.59°C,"January 2, 1500"
631, -0.5°C,"January 2, 1499"
632, -0.53°C,"January 2, 1498"
633, -0.53°C,"January 2, 1498"
634, -0.68°C,"January 2, 1497"
635, -0.62°C,"January 2, 1496"
636, -0.37°C,"January 2, 1495"
637, -0.24°C,"January 2, 1494"
638, -0.38°C,"January 2, 1493"
639, -0.38°C,"January 2, 1493"
640, -0.48°C,"January 2, 1492"
641, -0.21°C,"January 2, 1491"
642, 0.07°C,"January 2, 1490"
643, 0.08°C,"January 2, 1489"
644, -0.02°C,"January 2, 1488"
645, -0.02°C,"January 2, 1488"
646, -0.02°C,"January 2, 1487"
647, -0.01°C,"January 2, 1486"
648, -0.01°C,"January 2, 1485"
649, -0.1°C,"January 2, 1484"
650, -0.35°C,"January 2, 1483"
651, -0.35°C,"January 2, 1483"
652, -0.47°C,"January 2, 1482"
653, -0.42°C,"January 2, 1481"
654, -0.47°C,"January 2, 1480"
655, -0.5°C,"January 2, 1479"
656, -0.37°C,"January 2, 1478"
657, -0.31°C,"January 2, 1477"
658, -0.31°C,"January 2, 1477"
659, -0.46°C,"January 2, 1476"
660, -0.6°C,"January 2, 1475"
661, -0.55°C,"January 2, 1474"
662, -0.42°C,"January 2, 1473"
663, -0.33°C,"January 2, 1472"
664, -0.33°C,"January 2, 1472"
665, -0.24°C,"January 2, 1471"
666, -0.22°C,"January 2, 1470"
667, -0.38°C,"January 2, 1469"
668, -0.51°C,"January 2, 1468"
669, -0.46°C,"January 2, 1467"
670, -0.46°C,"January 2, 1467"
671, -0.48°C,"January 2, 1466"
672, -0.61°C,"January 2, 1465"
673, -0.61°C,"January 2, 1464"
674, -0.49°C,"January 2, 1463"
675, -0.51°C,"January 2, 1462"
676, -0.51°C,"January 2, 1462"
677, -0.56°C,"January 2, 1461"
678, -0.47°C,"January 2, 1460"
679, -0.38°C,"January 2, 1459"
680, -0.49°C,"January 2, 1458"
681, -0.71°C,"January 2, 1457"
682, -0.71°C,"January 2, 1457"
683, -0.74°C,"January 2, 1456"
684, -0.58°C,"January 2, 1455"
685, -0.47°C,"January 2, 1454"
686, -0.49°C,"January 2, 1453"
687, -0.52°C,"January 2, 1452"
688, -0.52°C,"January 2, 1452"
689, -0.56°C,"January 2, 1451"
690, -0.63°C,"January 2, 1450"
691, -0.61°C,"January 2, 1449"
692, -0.54°C,"January 2, 1448"
693, -0.45°C,"January 2, 1447"
694, -0.36°C,"January 2, 1446"
695, -0.36°C,"January 2, 1446"
696, -0.25°C,"January 2, 1445"
697, -0.11°C,"January 2, 1444"
698, -0.11°C,"January 2, 1443"
699, -0.24°C,"January 2, 1442"
700, -0.23°C,"January 2, 1441"
701, -0.23°C,"January 2, 1441"
702, -0.16°C,"January 2, 1440"
703, -0.22°C,"January 2, 1439"
704, -0.29°C,"January 2, 1438"
705, -0.21°C,"January 2, 1437"
706, -0.12°C,"January 2, 1436"
707, -0.12°C,"January 2, 1436"
708, -0.21°C,"January 2, 1435"
709, -0.33°C,"January 2, 1434"
710, -0.28°C,"January 2, 1433"
711, -0.22°C,"January 2, 1432"
712, -0.2°C,"January 2, 1431"
713, -0.2°C,"January 2, 1431"
714, -0.13°C,"January 2, 1430"
715, -0.02°C,"January 2, 1429"
716, 0.07°C,"January 2, 1428"
717, 0°C,"January 2, 1427"
718, -0.12°C,"January 2, 1426"
719, -0.12°C,"January 2, 1426"
720, -0.05°C,"January 2, 1425"
721, 0.1°C,"January 2, 1424"
722, 0.1°C,"January 2, 1423"
723, -0.05°C,"January 2, 1422"
724, -0.12°C,"January 2, 1421"
725, -0.12°C,"January 2, 1421"
726, -0.08°C,"January 2, 1420"
727, -0.01°C,"January 2, 1419"
728, 0.08°C,"January 2, 1418"
729, 0.08°C,"January 2, 1417"
730, -0.07°C,"January 2, 1416"
731, -0.23°C,"January 2, 1415"
732, -0.23°C,"January 2, 1415"
733, -0.3°C,"January 2, 1414"
734, -0.24°C,"January 2, 1413"
735, -0.11°C,"January 2, 1412"
736, -0.09°C,"January 2, 1411"
737, -0.1°C,"January 2, 1410"
738, -0.1°C,"January 2, 1410"
739, -0.1°C,"January 2, 1409"
740, -0.15°C,"January 2, 1408"
741, -0.12°C,"January 2, 1407"
742, 0.02°C,"January 2, 1406"
743, -0.01°C,"January 2, 1405"
744, -0.01°C,"January 2, 1405"
745, -0.16°C,"January 2, 1404"
746, -0.25°C,"January 2, 1403"
747, -0.29°C,"January 2, 1402"
748, -0.36°C,"January 2, 1401"
749, -0.39°C,"January 2, 1400"
750, -0.39°C,"January 2, 1400"
751, -0.37°C,"January 2, 1399"
752, -0.34°C,"January 2, 1398"
753, -0.35°C,"January 2, 1397"
754, -0.32°C,"January 2, 1396"
755, -0.18°C,"January 2, 1395"
756, -0.18°C,"January 2, 1395"
757, -0.1°C,"January 2, 1394"
758, -0.15°C,"January 2, 1393"
759, -0.19°C,"January 2, 1392"
760, -0.23°C,"January 2, 1391"
761, -0.27°C,"January 2, 1390"
762, -0.19°C,"January 2, 1389"
763, -0.19°C,"January 2, 1389"
764, -0.13°C,"January 2, 1388"
765, -0.12°C,"January 2, 1387"
766, -0.05°C,"January 2, 1386"
767, -0.01°C,"January 2, 1385"
768, -0.09°C,"January 2, 1384"
769, -0.09°C,"January 2, 1384"
770, -0.22°C,"January 2, 1383"
771, -0.31°C,"January 2, 1382"
772, -0.32°C,"January 2, 1381"
773, -0.38°C,"January 2, 1380"
774, -0.44°C,"January 2, 1379"
